地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
1997/05/13,14:38:27.5,鹿児島県薩摩地方,31°56.9′N,130°18.1′E,9 km,6.4,震度６弱
1997/04/05,13:24:50.1,鹿児島県薩摩地方,31°58.2′N,130°24.2′E,12 km,5.2,震度５弱
1997/04/03,04:33:23.3,鹿児島県薩摩地方,31°58.2′N,130°19.3′E,15 km,5.7,震度５強
1997/03/26,17:31:47.9,鹿児島県薩摩地方,31°58.3′N,130°21.5′E,12 km,6.6,震度５強
1997/03/16,14:51:39.1,愛知県東部,34°55.6′N,137°31.5′E,39 km,5.9,震度５強
1997/03/07,16:33:21.9,伊豆半島東方沖,34°58.1′N,139°08.8′E,1 km,5.0,震度５弱
1997/03/05,22:43:28.6,伊豆半島東方沖,34°57.7′N,139°09.3′E,3 km,4.9,震度５弱
1997/03/03,23:09:43.2,伊豆半島東方沖,34°57.6′N,139°09.4′E,0 km,5.5,震度５弱
1997/02/20,16:55:00.3,浦河沖,41°45.5′N,142°52.4′E,49 km,5.9,震度５弱
1996/12/21,10:28:47.7,茨城県南部,36°05.7′N,139°51.6′E,53 km,5.6,震度５弱
1996/12/03,07:17:58.1,日向灘,31°46.1′N,131°40.8′E,38 km,6.7,震度５弱
1996/10/19,23:44:41.4,日向灘,31°47.9′N,132°00.5′E,34 km,6.9,震度５弱
1996/09/11,11:37:14.3,千葉県東方沖,35°38.3′N,141°13.0′E,52 km,6.4,震度５
1996/08/11,08:10:46.6,宮城県北部,38°51.9′N,140°40.3′E,10 km,5.8,震度５
1996/08/11,03:54:12.2,宮城県北部,38°53.8′N,140°39.0′E,9 km,5.6,震度５
1996/08/11,03:12:17.9,秋田県内陸南部,38°54.4′N,140°38.0′E,9 km,6.1,震度５
1996/03/06,23:35:28.7,山梨県東部・富士五湖,35°28.5′N,138°56.8′E,20 km,5.5,震度５
1995/10/19,11:41:33.0,奄美大島近海,28°01.1′N,130°26.3′E,21 km,6.7,震度５
1995/10/18,19:37:23.2,奄美大島近海,28°01.9′N,130°22.8′E,39 km,6.9,震度５
1995/10/06,21:43:40.6,新島・神津島近海,34°09.1′N,139°06.2′E,9 km,5.9,震度５
1995/05/23,19:01:28.9,空知地方中部,43°38.5′N,141°42.9′E,16 km,5.9,震度５
1995/01/17,05:46:51.8,大阪湾,34°35.9′N,135°02.1′E,16 km,7.3,震度７
1995/01/07,07:37:37.1,岩手県沖,40°13.4′N,142°18.3′E,48 km,7.2,震度５
1994/12/28,21:19:20.9,三陸沖,40°25.8′N,143°44.7′E,0 km,7.6,震度６
1994/10/04,22:22:56.9,北海道東方沖,43°22.5′N,147°40.4′E,28 km,8.2,震度６
1994/08/31,18:07:29.0,根室半島南東沖,43°29.6′N,146°03.8′E,84 km,6.3,震度５
1993/08/08,04:42:43.6,北海道南西沖,41°57.5′N,139°52.9′E,24 km,6.3,震度５
1993/07/12,22:17:11.7,北海道南西沖,42°46.9′N,139°10.8′E,35 km,7.8,震度５
1993/05/17,17:39:41.2,西表島付近,24°28.5′N,123°43.1′E,8 km,4.1,震度５
1993/02/07,22:27:43.7,能登半島沖,37°39.4′N,137°17.8′E,25 km,6.6,震度５
1993/01/15,20:06:07.2,釧路沖,42°55.2′N,144°21.2′E,101 km,7.5,震度６
1992/11/18,02:40:47.9,西表島付近,24°29.2′N,123°44.3′E,6 km,4.4,震度５
1992/10/20,16:42:06.8,西表島付近,24°27.0′N,123°44.5′E,4 km,3.7,震度５
1992/10/20,16:18:50.5,西表島付近,24°27.9′N,123°44.4′E,8 km,5.0,震度５
1992/10/18,04:28:10.0,西表島付近,24°23.7′N,123°47.5′E,1 km,不明,震度５
1992/10/15,18:58,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度５
1992/10/14,13:15:35.0,西表島付近,24°25.7′N,123°45.6′E,4 km,4.9,震度５
1992/06/15,10:46:34.0,新島・神津島近海,34°09.1′N,139°06.3′E,7 km,5.2,震度５
1992/02/02,04:04:05.7,東京湾,35°13.8′N,139°47.3′E,92 km,5.7,震度５
1989/03/06,23:39:44.3,千葉県東方沖,35°41.8′N,140°42.6′E,56 km,6.0,震度５
1987/12/17,11:08:16.8,千葉県東方沖,35°22.5′N,140°29.6′E,58 km,6.7,震度５
1987/04/30,10:10:30.8,奄美大島近海,28°23.2′N,129°46.5′E,9 km,5.2,震度５
1987/04/23,05:13:23.4,福島県沖,37°05.5′N,141°37.4′E,47 km,6.5,震度５
1987/04/07,09:40:43.4,福島県沖,37°18.2′N,141°51.8′E,44 km,6.6,震度５
1987/03/18,12:36:29.0,日向灘,31°58.4′N,132°03.7′E,48 km,6.6,震度５
1987/02/06,22:16:15.3,福島県沖,36°57.9′N,141°53.6′E,35 km,6.7,震度５
1987/01/14,20:03:49.6,十勝地方南部,42°32.2′N,142°55.7′E,119 km,6.6,震度５
1987/01/09,15:14:46.0,岩手県沿岸北部,39°50.2′N,141°46.6′E,72 km,6.6,震度５
1986/11/22,14:13:22.3,伊豆大島近海,34°43.1′N,139°20.2′E,3 km,3.9,震度５
1986/11/22,11:46:49.2,伊豆大島近海,34°46.5′N,139°16.9′E,3 km,4.0,震度５
1986/11/21,17:12:41.6,伊豆大島近海,34°44.8′N,139°18.7′E,9 km,5.1,震度５
1986/11/21,17:09:46.0,伊豆大島近海,34°42.0′N,139°16.1′E,0 km,5.1,震度５
1985/10/04,21:25:51.6,茨城県南部,35°52.3′N,140°09.3′E,78 km,6.0,震度５
1984/08/06,17:38:10.9,橘湾,32°47.5′N,130°09.6′E,11 km,5.0,震度５
1983/10/03,22:33:35.9,三宅島近海,34°00.4′N,139°30.7′E,15 km,6.2,震度５
1983/05/26,11:59:57.5,秋田県沖,40°21.6′N,139°04.4′E,14 km,7.7,震度５
1982/03/21,11:32:05.7,浦河沖,42°04.0′N,142°36.0′E,40 km,7.1,震度６
1981/01/23,13:58:30.7,浦河沖,42°25.0′N,142°12.0′E,130 km,6.9,震度５
1980/06/29,16:20:07.5,伊豆半島東方沖,34°55.0′N,139°14.0′E,10 km,6.7,震度５
1978/06/12,17:14:25.4,宮城県沖,38°09.0′N,142°10.0′E,40 km,7.4,震度５
1978/02/20,13:36:57.2,宮城県沖,38°45.0′N,142°12.0′E,50 km,6.7,震度５
1978/01/14,12:24:38.6,伊豆大島近海,34°46.0′N,139°15.0′E,0 km,7.0,震度５
1975/01/23,23:19:14.7,熊本県阿蘇地方,33°01.5′N,131°08.9′E,0 km,6.1,震度５
1974/11/09,06:23:21.9,苫小牧沖,42°32.5′N,141°45.4′E,136 km,6.3,震度５
1974/05/09,08:33:27.7,駿河湾,34°37.8′N,138°46.8′E,9 km,6.9,震度５
1973/06/24,11:43:23.5,根室半島南東沖,43°09.8′N,146°37.9′E,52 km,7.1,震度５
1973/06/17,22:33:27.0,釧路沖,42°51.4′N,145°34.4′E,45 km,5.7,震度５
1973/06/17,12:55:02.0,根室半島南東沖,43°03.5′N,145°58.2′E,44 km,7.4,震度５
1972/12/04,19:16:10.3,八丈島東方沖,33°20.2′N,140°56.3′E,54 km,7.2,震度６
1972/02/29,18:23:00.0,八丈島東方沖,33°31.5′N,140°53.1′E,22 km,7.0,震度５
1971/08/02,16:24:56.8,十勝沖,41°18.0′N,143°31.7′E,54 km,7.0,震度５
1970/10/16,14:26:12.9,秋田県内陸南部,39°12.7′N,140°45.2′E,18 km,6.2,震度５
1970/07/26,07:41:10.5,日向灘,32°06.1′N,132°01.6′E,20 km,6.7,震度５
1970/01/21,02:33:04.3,十勝地方南部,42°25.1′N,143°08.9′E,55 km,6.7,震度５
1970/01/01,04:01:51.6,奄美大島近海,28°29.5′N,129°05.7′E,0 km,6.1,震度５
1969/09/09,14:15:35.9,岐阜県美濃中西部,35°46.6′N,137°04.6′E,3 km,6.6,震度５
1968/09/21,22:06:01.7,浦河沖,41°59.0′N,142°45.6′E,54 km,6.8,震度５
1968/08/06,01:17:06.3,豊後水道,33°17.8′N,132°23.5′E,39 km,6.6,震度５
1968/05/16,19:39:01.9,青森県東方沖,41°30.2′N,142°37.6′E,8 km,7.5,震度５
1968/05/16,09:48:54.5,青森県東方沖,40°41.9′N,143°35.7′E,0 km,7.9,震度５
1968/04/01,09:42:04.0,日向灘,32°26.9′N,132°26.2′E,22 km,7.5,震度５
1968/02/21,10:44:52.0,宮崎県南部山沿い,32°02.0′N,130°45.3′E,0 km,6.1,震度５
1968/02/21,08:51:39.7,宮崎県南部山沿い,32°02.9′N,130°47.4′E,0 km,5.7,震度５
1967/10/14,04:48:46.0,長野県北部,36°32.6′N,138°09.3′E,10 km,5.3,震度５
1966/08/03,03:48:34.9,長野県北部,36°30.5′N,138°11.8′E,0 km,5.3,震度５
1966/05/28,14:21:21.7,長野県北部,36°33.6′N,138°12.4′E,0 km,5.3,震度５
1966/04/17,20:28:18.8,長野県北部,36°33.3′N,138°11.3′E,2 km,4.7,震度５
1966/04/17,15:46:55.3,長野県北部,36°33.5′N,138°12.5′E,0 km,4.7,震度５
1966/04/17,10:21:34.8,長野県北部,36°36.8′N,138°13.0′E,10 km,4.7,震度５
1966/04/11,06:06:15.2,長野県北部,36°34.2′N,138°12.1′E,2 km,4.7,震度５
1966/04/05,17:51:17.1,長野県北部,36°33.5′N,138°19.1′E,0 km,5.4,震度５
1966/03/13,01:31:21.4,与那国島近海,24°03.0′N,122°42.9′E,42 km,7.3,震度５
1966/02/07,04:05:13.8,長野県北部,36°32.5′N,138°13.1′E,0 km,4.9,震度５
1966/01/23,20:15:57.3,長野県北部,36°31.7′N,138°13.0′E,3 km,5.1,震度５
1964/06/16,13:01:40.7,新潟県下越沖,38°22.2′N,139°12.7′E,34 km,7.5,震度５
1963/03/27,06:34:39.1,若狭湾,35°48.9′N,135°47.5′E,14 km,6.9,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962年08月,,日時分不明データ,不明,不明,不明,不明,震度５
1962/08/30,22:46:09.2,三宅島近海,34°09.6′N,139°23.3′E,20 km,5.2,震度５
1962/08/26,15:48:55.8,三宅島近海,34°07.2′N,139°24.3′E,33 km,5.9,震度５
1962/04/23,14:58:13.9,十勝沖,42°27.7′N,143°46.0′E,69 km,7.1,震度５
1961/02/27,03:10:49.1,日向灘,31°38.7′N,131°53.2′E,37 km,7.0,震度５
1958/11/07,07:58:12.8,択捉島南東沖,43°46.5′N,148°17.3′E,13 km,8.1,震度５
1958/03/11,09:26:07.2,石垣島近海,24°48.6′N,124°23.4′E,57 km,7.2,震度５
1953/11/26,02:48:58.7,関東東方沖,34°09.4′N,141°24.2′E,39 km,7.4,震度５
1952/03/04,10:22:43.5,十勝沖,41°42.3′N,144°09.0′E,54 km,8.2,震度５
1948/06/28,16:13:28.8,福井県嶺北,36°10.3′N,136°17.4′E,0 km,7.1,震度６
1947/09/27,01:01:59,与那国島近海,24°42.0′N,123°12.0′E,96 km,7.4,震度５
1946/12/21,04:19:04.1,和歌山県南方沖,32°56.1′N,135°50.9′E,24 km,8.0,震度５
1946/01/11,07:15,詳細不明,34°51.0′N,133°02.0′E,0 km,不明,震度５
1945/02/10,13:58:00.2,青森県東方沖,40°56.8′N,142°22.5′E,60 km,7.1,震度５
1945/01/13,03:38:23.2,三河湾,34°42.1′N,137°06.8′E,11 km,6.8,震度５
1944/12/07,13:54:48.1,遠州灘,34°08.1′N,137°19.9′E,7 km,5.8,震度５
1944/12/07,13:35:40.0,三重県南東沖,33°34.4′N,136°10.5′E,40 km,7.9,震度６
1943/09/10,17:36:53.5,鳥取県東部,35°28.3′N,134°11.0′E,0 km,7.2,震度６
1943/03/05,04:50:09.0,鳥取県東部,35°27.9′N,134°14.1′E,9 km,6.2,震度５
1943/03/04,19:13:45.4,鳥取県東部,35°26.5′N,134°06.2′E,5 km,6.2,震度５
1942/09/09,01:07:33.3,茨城県沖,36°38.8′N,141°07.2′E,76 km,6.2,震度５
1941/11/19,01:46:25.9,日向灘,32°07.1′N,132°08.0′E,33 km,7.2,震度５
1941/07/15,23:45:26.8,長野県北部,36°39.4′N,138°11.6′E,5 km,6.1,震度６
1940/10/18,04:20,詳細不明,34°51.0′N,133°02.0′E,0 km,不明,震度５
1939/06/23,02:20,詳細不明,36°44.0′N,139°30.0′E,0 km,不明,震度５
1939/05/01,15:00:07.0,秋田県沖,39°59.8′N,139°36.0′E,0 km,6.7,震度５
1939/05/01,14:58:26.5,秋田県沿岸北部,39°56.7′N,139°47.1′E,0 km,6.8,震度５
1938/11/06,17:53:51.9,福島県沖,37°22.1′N,141°53.5′E,10 km,7.4,震度５
1938/11/05,19:50:14.9,福島県沖,37°25.7′N,141°28.3′E,30 km,7.3,震度５
1938/11/05,17:43:18.4,福島県沖,36°55.5′N,141°55.1′E,43 km,7.5,震度５
1938/09/22,03:52:02.2,茨城県沖,36°26.6′N,141°03.4′E,48 km,6.5,震度５
1938/05/23,16:18:29.7,茨城県沖,36°34.4′N,141°19.4′E,0 km,7.0,震度５
1938/01/12,00:11:59.6,和歌山県南方沖,33°37.4′N,135°18.7′E,47 km,6.8,震度５
1937/10/26,07:50:09.6,天草灘,32°06.1′N,129°49.4′E,5 km,4.2,震度５
1937/07/27,04:56:32.2,宮城県沖,38°07.3′N,142°00.0′E,56 km,7.1,震度５
1937/01/27,16:04:46.0,熊本県熊本地方,32°47.1′N,130°48.8′E,9 km,5.1,震度５
1936/11/03,05:45:57.1,宮城県沖,38°15.7′N,142°03.7′E,61 km,7.4,震度５
1936/02/21,10:07:58.2,奈良県,34°31.3′N,135°41.6′E,18 km,6.4,震度５
1936/01/08,04:33:35.5,京都府南部,35°08.1′N,135°43.4′E,8 km,4.5,震度５
1935/07/19,09:49:46.0,茨城県沖,36°38.2′N,141°34.9′E,30 km,6.9,震度５
1935/07/17,00:00:28.0,山口県北西沖,34°35.1′N,131°01.7′E,20 km,5.5,震度５
1935/07/11,17:24:48.3,静岡県中部,35°01.4′N,138°23.6′E,10 km,6.4,震度６
1933/03/03,02:30:47.6,三陸沖,39°07.5′N,145°07.2′E,0 km,8.1,震度５
1933/02/07,10:27:35.1,熊本県阿蘇地方,32°58.1′N,131°03.6′E,0 km,4.4,震度５
1933/02/06,16:17:03.1,熊本県阿蘇地方,32°57.9′N,131°01.4′E,11 km,4.4,震度５
1932/11/26,13:23:59.7,日高地方中部,42°21.3′N,142°27.9′E,66 km,6.9,震度５
1931/12/26,10:42:53.2,熊本県天草・芦北地方,32°29.6′N,130°31.7′E,17 km,5.8,震度５
1931/12/22,22:07:54.2,熊本県天草・芦北地方,32°30.2′N,130°30.1′E,15 km,5.6,震度５
1931/12/21,14:47:11.4,熊本県天草・芦北地方,32°29.1′N,130°29.2′E,0 km,5.5,震度５
1931/11/02,19:02:56.0,日向灘,31°47.4′N,132°00.1′E,28 km,7.1,震度５
1931/09/21,11:19:59.4,埼玉県北部,36°09.5′N,139°14.8′E,3 km,6.9,震度５
1931/06/17,21:09:40.5,東京都多摩東部,35°45.0′N,139°23.5′E,57 km,6.3,震度５
1930/12/21,21:14:25.9,広島県北部,34°55.3′N,132°49.3′E,13 km,5.9,震度５
1930/11/26,04:02:46.9,静岡県伊豆地方,35°02.5′N,138°58.4′E,1 km,7.3,震度６
1930/10/17,06:35:56.0,石川県西方沖,36°25.5′N,136°15.4′E,10 km,6.3,震度５
1930/06/01,02:58:22.8,茨城県北部,36°25.5′N,140°32.2′E,54 km,6.5,震度５
1930/05/29,04:50,詳細不明,36°44.0′N,139°30.0′E,0 km,不明,震度５
1930/05/24,01:38:10.3,房総半島南方沖,34°10.9′N,139°50.1′E,110 km,6.3,震度５
1930/05/24,01:15,詳細不明,36°44.0′N,139°30.0′E,0 km,不明,震度５
1930/05/17,05:14:06.6,静岡県伊豆地方,34°54.4′N,139°07.6′E,13 km,5.8,震度５
1930/05/09,11:52:33.7,伊豆半島東方沖,34°53.5′N,139°11.3′E,26 km,4.7,震度５
1930/03/27,01:41:31.0,伊豆半島東方沖,34°59.6′N,139°08.0′E,10 km,5.2,震度５
1930/03/22,17:50:35.5,静岡県伊豆地方,35°02.3′N,139°05.8′E,10 km,5.9,震度５
1930/03/15,18:33:44.7,静岡県伊豆地方,34°54.4′N,139°03.6′E,6 km,4.8,震度５
1930/03/09,04:39:36.3,伊豆半島東方沖,34°59.0′N,139°06.5′E,0 km,4.9,震度５
1930/03/03,21:14:20.5,静岡県伊豆地方,34°56.6′N,139°03.5′E,2 km,4.5,震度５
1929/12/22,06:50,詳細不明,36°44.0′N,139°30.0′E,0 km,不明,震度５
1929/07/27,07:48:14.9,神奈川県西部,35°30.8′N,139°05.0′E,37 km,6.3,震度５
1929/07/17,19:49:20.3,茨城県南部,36°12.1′N,139°49.4′E,65 km,5.2,震度５
1929/05/22,01:35:31.5,日向灘,31°44.9′N,131°53.3′E,59 km,6.9,震度５
1929/05/20,23:36:41.7,広島県南西部,34°35.6′N,132°32.1′E,65 km,3.9,震度５
1928/10/24,12:37:52.0,広島県南西部,34°21.7′N,132°49.3′E,3 km,4.0,震度５
1928/09/25,13:58:41.0,伊予灘,33°36.4′N,131°54.8′E,76 km,5.8,震度５
1928/06/03,17:31:04.4,薩摩半島西方沖,31°52.7′N,128°59.1′E,0 km,6.6,震度５
1928/06/01,22:12:22.0,三陸沖,39°19.0′N,143°10.6′E,45 km,6.6,震度５
1928/05/21,01:29:11.2,千葉県北西部,35°40.1′N,140°03.9′E,75 km,6.2,震度５
1928/02/28,01時,分不明データ,不明,不明,不明,不明,震度５
1928/02/20,12:02:30.4,広島県北部,34°59.4′N,133°16.5′E,64 km,5.4,震度５
1928/02/12,05:52,詳細不明,36°44.0′N,139°30.0′E,0 km,不明,震度５
1928/01/01,16:24,詳細不明,36°44.0′N,139°30.0′E,0 km,不明,震度５
1927/10/18,21:44:37.7,天草灘,32°09.7′N,129°45.7′E,9 km,5.3,震度５
1927/10/11,10:12:59.7,茨城県沖,36°34.2′N,140°59.0′E,35 km,5.9,震度５
1927/08/06,06:12:59.6,宮城県沖,37°54.3′N,142°10.1′E,25 km,6.7,震度５
1927/03/12,05:29:57.6,京都府沖,35°44.5′N,134°56.1′E,14 km,5.2,震度５
1927/03/07,18:32,詳細不明,35°32.0′N,134°50.0′E,0 km,不明,震度５
1927/03/07,18:27,詳細不明,35°32.0′N,134°50.0′E,0 km,不明,震度５
1927/03/07,18:27:39.2,京都府北部,35°37.9′N,134°55.8′E,18 km,7.3,震度６
1926/08/03,18:26:13.8,東京都２３区,35°35.4′N,139°43.8′E,57 km,6.3,震度５
1926/07/04,07:18,詳細不明,28°23.0′N,129°30.0′E,0 km,不明,震度５
1926/06/12,04:40,詳細不明,33°19.0′N,130°56.0′E,0 km,不明,震度５
1925/05/23,12:02:22.5,兵庫県北部,35°32.1′N,134°45.9′E,0 km,5.7,震度５
1925/05/23,11:47:36,詳細不明,35°32.0′N,134°50.0′E,0 km,不明,震度５
1925/05/23,11:46:27,詳細不明,35°32.0′N,134°50.0′E,0 km,不明,震度５
1925/05/23,11:38:24.9,兵庫県北部,35°29.9′N,134°55.3′E,0 km,4.6,震度５
1925/05/23,11:09:47.6,兵庫県北部,35°33.8′N,134°50.0′E,0 km,6.8,震度６
1924/08/15,03:02:37.2,茨城県沖,36°24.5′N,141°23.9′E,0 km,7.2,震度５
1924/01/15,06:05:20.7,千葉県東方沖,35°31.3′N,140°30.4′E,0 km,6.0,震度５
1924/01/15,05:50:14.8,神奈川県西部,35°20.4′N,139°03.3′E,0 km,7.3,震度６
1923/09/14,15:32:52.3,茨城県南部,36°13.0′N,139°50.7′E,47 km,5.2,震度５
1923/09/02,22:09:11.1,静岡県伊豆地方,34°56.2′N,138°50.5′E,24 km,6.5,震度５
1923/09/02,18:26:51.3,千葉県東方沖,35°33.7′N,140°41.7′E,27 km,6.9,震度５
1923/09/02,11:46:38.7,千葉県南東沖,34°41.3′N,140°02.6′E,14 km,7.3,震度５
1923/09/02,04:13:27.2,山梨県東部・富士五湖,35°33.2′N,138°58.3′E,6 km,4.6,震度５
1923/09/02,03:04:44,詳細不明,35°40.0′N,138°33.0′E,0 km,不明,震度５
1923/09/01,17:00:45.2,神奈川県西部,35°34.2′N,139°12.6′E,52 km,4.3,震度５
1923/09/01,16:37:59.5,静岡県東部,35°14.0′N,138°46.1′E,0 km,6.6,震度５
1923/09/01,14:22:32.2,静岡県伊豆地方,35°05.1′N,139°02.5′E,0 km,6.6,震度５
1923/09/01,13:31:11.8,静岡県東部,35°21.9′N,138°46.7′E,0 km,6.1,震度５
1923/09/01,13:20:25.7,伊豆大島近海,34°57.6′N,139°33.0′E,0 km,6.2,震度５
1923/09/01,12:47:57.1,山梨県中・西部,35°39.6′N,138°47.5′E,0 km,6.8,震度５
1923/09/01,12:23:53.5,相模湾,35°16.4′N,139°27.6′E,42 km,6.5,震度５
1923/09/01,12:17:28.8,伊豆大島近海,34°44.4′N,139°34.9′E,24 km,6.4,震度５
1923/09/01,12:11,伊豆大島近海,35°00.0′N,139°30.0′E,0 km,5.6,震度５
1923/09/01,12:03,相模湾,35°06.0′N,139°30.0′E,0 km,7.3,震度５
1923/09/01,12:00,詳細不明,35°06.0′N,138°51.0′E,0 km,不明,震度５
1923/09/01,11:58:31.6,神奈川県西部,35°19.8′N,139°08.1′E,23 km,7.9,震度６
1923/07/02,03:19:31,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度５
1923/06/02,05:15:07.4,千葉県東方沖,35°44.1′N,141°14.8′E,67 km,6.8,震度５
1923/02/11,00:49:14,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度５
1922/12/08,01:50:20.6,橘湾,32°41.6′N,130°02.2′E,19 km,6.9,震度５
1922/04/26,10:11:26.3,神奈川県東部,35°15.5′N,139°44.2′E,88 km,6.8,震度５
1921/02/14,12:00:25.1,山梨県東部・富士五湖,35°25.0′N,138°54.0′E,22 km,5.8,震度５
1920/06/05,13:21:37.5,台湾付近,23°40.7′N,121°38.1′E,50 km,7.4,震度５
